strategy,label,family,ann_return,cagr,cumulative_return,cost_30bps_ann_return,max_drawdown,max_drawdown_ex_2008,worst_12m,worst_12m_ex_2008,ann_vol,2008_ann_return,2008_max_drawdown,2014_2015_ann_return,2014_2015_max_drawdown,2016_2018_ann_return,2016_2018_max_drawdown,turnover,buy_fail_rate,sell_fail_rate,sell_failed,sell_attempts,forced_state_pnl,forced_state_pnl_share,suspended_position_days,median_holdings,median_cash_slots,median_amount_20d,median_float_mcap,delta_ann_return,delta_cost_30bps_ann_return,delta_max_drawdown,delta_max_drawdown_ex_2008,delta_worst_12m_ex_2008,delta_2016_2018_ann_return,delta_2016_2018_max_drawdown,delta_sell_fail_rate,delta_forced_state_pnl,delta_suspended_position_days,mdd_improvement,mdd_ex2008_improvement,sell_fail_reduction,forced_pnl_improvement
baseline_size_10_50_top100,baseline,baseline,0.3072190705431266,0.3072190705431266,80.19416675979525,0.27272471618524974,-0.6696619614956734,-0.5674669462437438,-0.5935958099734019,-0.4531635687626596,0.3168372496804406,-0.40289866430554544,-0.6696619614956729,1.2100973967185658,-0.44789728882930346,-0.15782751758811864,-0.5674669462437434,0.035408743383650264,0.02908157810328237,0.1182996269389358,1205,10186,-0.12712477944108594,-0.023429798228483276,20761,100.0,0.0,34549557.887499996,1298140871.0700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
amount20_ge_20m,amount20 >= 20m,amount,0.2407449108720514,0.2407449108720514,27.335996260853953,0.20272478914073133,-0.7036167770101642,-0.5989081261368113,-0.6404498446503444,-0.4892656215901916,0.31612639376954677,-0.5579892607825527,-0.703616777010164,1.1874994895501998,-0.4478972888293036,-0.17656872538056656,-0.5989081261368105,0.04119976475200941,0.029952223447262036,0.09187217783952761,1058,11516,-0.11551641036561214,-0.026444102914238897,17468,100.0,0.0,44154530.04000001,1342508133.055,-0.06647415967107517,-0.0699999270445184,-0.033954815514490866,-0.031441179893067495,-0.03610205282753198,-0.018741207792447923,-0.03144117989306716,-0.026427449099408182,0.011608369075473801,-3293,-0.033954815514490866,-0.031441179893067495,0.026427449099408182,0.011608369075473801
amount20_ge_50m,amount20 >= 50m,amount,0.1388804148670597,0.1388804148670597,4.274287632532054,0.1012421025172674,-0.6789316411852413,-0.6789316411852411,-0.6033690933236542,-0.5430828431051233,0.3078341930580558,-0.5047574316974204,-0.6048414712172747,1.0280312430087708,-0.44817392678925594,-0.23536292287935734,-0.6569250155434446,0.0444736326210547,0.03071294878339289,0.08469768195817799,1045,12338,-0.1536849749777287,-0.058367166172644994,16317,100.0,0.0,78636849.952125,1657559399.1599998,-0.16833865567606687,-0.17148261366798234,-0.009269679689567933,-0.11146469494149724,-0.08991927434246372,-0.0775354052912387,-0.08945806929970124,-0.0336019449807578,-0.026560195536642767,-4444,-0.009269679689567933,-0.11146469494149724,0.0336019449807578,-0.026560195536642767
amount20_ge_100m,amount20 >= 100m,amount,0.038036751859852114,0.038036751859852114,-0.00404301830947551,0.00667438851988833,-0.7718626499583569,-0.771862649958357,-0.5881762392171479,-0.5881762392171479,0.27251122440750186,-0.10882889394931539,-0.2089003978591908,0.8093147862335874,-0.46438191292533815,-0.3000534890190827,-0.7173465131208864,0.04058419917663203,0.03488911570938109,0.10332520891364902,1187,11488,-0.38519060697008345,-0.5097026559316991,17933,98.0,2.0,142335819.49400002,2071405915.2975001,-0.26918231868327447,-0.2660503276653614,-0.10220068846268349,-0.20439570371461313,-0.13501267045448828,-0.14222597143096405,-0.149879566877143,-0.014974418025286776,-0.25806582752899754,-2828,-0.10220068846268349,-0.20439570371461313,0.014974418025286776,-0.25806582752899754
amount60_ge_50m,amount60 >= 50m,amount,0.16164807798605696,0.16164807798605696,6.930027082017523,0.13275809370728697,-0.6708716690698078,-0.6708716690698081,-0.5376654076507332,-0.5376654076507332,0.30670738090718874,-0.464198114723947,-0.5883660678232763,1.1008144950858116,-0.4481739267892557,-0.22806306914876895,-0.6537031782738544,0.03333071946677122,0.030498866213151926,0.11051468266498263,1050,9501,-0.1676146826782015,-0.055246033621486945,17751,100.0,0.0,73875456.025,1612570928.06,-0.14557099255706962,-0.13996662247796277,-0.001209707574134411,-0.10340472282606428,-0.08450183888807361,-0.07023555156065031,-0.08623623203011099,-0.007784944273953168,-0.04048990323711557,-3010,-0.001209707574134411,-0.10340472282606428,0.007784944273953168,-0.04048990323711557
amount20_to_60_ge_050,amount20/60 >= 0.50,decay,0.3009087322285515,0.3009087322285515,73.24261835807378,0.26289482273480025,-0.6783219756297136,-0.5858976674962977,-0.60545368025888,-0.47009081615566883,0.31551771419373037,-0.417747686101302,-0.6783219756297136,1.1640569649455403,-0.44684046335789673,-0.16396674433206015,-0.5858976674962972,0.03926681042932759,0.028381117868520128,0.10891531789323079,1218,11183,-0.13142424031990727,-0.02466801192499507,20896,100.0,0.0,35868459.36625,1319337500.0,-0.006310338314575059,-0.00982989345044949,-0.008660014134040273,-0.01843072125255385,-0.016927247393009215,-0.006139226743941517,-0.01843072125255385,-0.009384309045705003,-0.004299460878821326,135,-0.008660014134040273,-0.01843072125255385,0.009384309045705003,-0.004299460878821326
amount20_to_60_ge_070,amount20/60 >= 0.70,decay,0.27497206090932336,0.27497206090932336,48.10066069916324,0.2291286670827759,-0.711581668438665,-0.5952441283011378,-0.661030353370159,-0.478743796247759,0.3163918257392167,-0.46842723664052455,-0.6973094762043955,1.1458717779891163,-0.4396012375891999,-0.18006288785529545,-0.5952441283011384,0.0484806900607724,0.02833215934882993,0.08926194349948233,1207,13522,-0.20148950837308086,-0.040955988548004495,20170,100.0,0.0,39784048.449,1373234833.21,-0.032247009633803225,-0.04359604910247383,-0.04191970694299163,-0.02777718205739399,-0.02558022748509936,-0.022235370267176813,-0.02777718205739499,-0.02903768343945347,-0.07436472893199492,-591,-0.04191970694299163,-0.02777718205739399,0.02903768343945347,-0.07436472893199492
no_bar20_eq0,no-bar20 = 0,state,0.3043270230957751,0.3043270230957751,76.22764554716852,0.2651903622198932,-0.6812580365217693,-0.5712429025524122,-0.6073012845174421,-0.45467451288005456,0.3176026420145599,-0.4210042631453088,-0.6812580365217693,1.159015963041099,-0.4450535282917072,-0.1644579630985512,-0.5712429025524122,0.04033718878651245,0.02664532529893607,0.10857640400522421,1247,11485,-0.15652574000348257,-0.029089172176385715,20641,100.0,0.0,34549557.887499996,1317042134.795,-0.002892047447351498,-0.007534353965356511,-0.011596075026095942,-0.003775956308668338,-0.0015109441173949412,-0.00663044551043257,-0.003775956308668782,-0.009723222933711584,-0.029400960562396633,-120,-0.011596075026095942,-0.003775956308668338,0.009723222933711584,-0.029400960562396633
no_bar60_le1,no-bar60 <= 1,state,0.3026266251050449,0.3026266251050449,74.16873722536954,0.2681365587204507,-0.6757546165065256,-0.5697676883410112,-0.6007401831087101,-0.4478689559608229,0.3177283365346428,-0.4043700271693468,-0.6757546165065255,1.0665390177994887,-0.45745172734904116,-0.154104810126917,-0.5697676883410113,0.03553028817878848,0.026183605856577963,0.11785434612372749,1204,10216,-0.06304388095063126,-0.01177408794574642,20536,100.0,0.0,33817322.69925,1315927498.0,-0.004592445438081683,-0.004588157464799014,-0.00609265501085221,-0.002300742097267383,0.00529461280183674,0.003722707461201624,-0.002300742097267938,-0.00044528081520830987,0.06408089849045467,-225,-0.00609265501085221,-0.002300742097267383,0.00044528081520830987,0.06408089849045467
cant_sell20_eq0,cant-sell20 = 0,state,0.26711722263491966,0.26711722263491966,46.00604593457595,0.22525830565085303,-0.7410070606416048,-0.567902112996318,-0.662293812534582,-0.4480443214513229,0.3034633512177065,-0.5337499138619797,-0.720198408847606,1.0606314211930514,-0.39103136206307665,-0.1731020443049044,-0.5679021129963177,0.0444736326210547,0.02281499270949481,0.09865112937983878,1236,12529,-0.3399596378571597,-0.07090695110255595,19793,100.0,0.0,32447226.135250002,1357149550.0,-0.04010184790820692,-0.04746641053439671,-0.07134509914593146,-0.0004351667525741565,0.005119247311336728,-0.015274526716785752,-0.0004351667525742675,-0.01964849755909702,-0.21283485841607377,-968,-0.07134509914593146,-0.0004351667525741565,0.01964849755909702,-0.21283485841607377
limit_down20_eq0,limit-down20 = 0,state,0.27117486143238034,0.27117486143238034,48.88404556669906,0.2330948357888576,-0.7139673978146663,-0.5823609738514097,-0.6439431481735428,-0.44928909573670595,0.30436747399193526,-0.5053681581773843,-0.7082109316824069,1.071343701793829,-0.4071399395898193,-0.17328106982660763,-0.5644754765443875,0.040266614389335424,0.025587763195165706,0.10843583704091425,1243,11463,-0.327305425895411,-0.06735753260333505,20485,100.0,0.0,32995618.075,1327579597.65,-0.03604420911074624,-0.03962988039639215,-0.044305436318992975,-0.014894027607665894,0.003874473025953673,-0.015453552238488988,0.002991469699355931,-0.009863789898021544,-0.20018064645432507,-276,-0.044305436318992975,-0.014894027607665894,0.009863789898021544,-0.20018064645432507
one_price20_eq0,one-price20 = 0,state,0.3094033058041554,0.3094033058041554,83.27012729666343,0.27457975657048883,-0.6686536667468326,-0.5679480461372964,-0.5938215286390018,-0.454684653796949,0.3163109407038779,-0.40072369524353113,-0.6686536667468326,1.1737440685006697,-0.450792746708814,-0.15991753778196705,-0.5679480461372968,0.03569104097235836,0.026069376463077252,0.11764132553606238,1207,10260,-0.11991058206110783,-0.02196323845294351,20814,100.0,0.0,34379682.50125,1300880840.0,0.002184235261028844,0.0018550403852390929,0.0010082947488407878,-0.00048109989355260563,-0.0015210850342893822,-0.0020900201938484075,-0.0004810998935533828,-0.0006583014028734152,0.00721419737997811,53,0.0010082947488407878,-0.00048109989355260563,0.0006583014028734152,0.00721419737997811
guard_loose_v1,guard loose,composite,0.21774213292624633,0.21774213292624633,20.185770676122996,0.17517340665962888,-0.6693135962866483,-0.6191667325983523,-0.6146256760829322,-0.5089664698016542,0.30216316332711834,-0.574523558918016,-0.6693135962866485,1.0596383607703412,-0.4268444742288282,-0.20434470177610353,-0.6191667325983516,0.04710056851597726,0.02686350435624395,0.0838566396079032,1095,13058,-0.28807303307030363,-0.07221298317346603,17319,100.0,0.0,45106142.16075,1425413078.38,-0.08947693761688025,-0.09755130952562086,0.00034836520902503665,-0.05169978635460848,-0.055802901038994546,-0.046517184187984895,-0.05169978635460826,-0.0344429873310326,-0.1609482536292177,-3442,0.00034836520902503665,-0.05169978635460848,0.0344429873310326,-0.1609482536292177
guard_balanced_v1,guard balanced,composite,0.13763866485090448,0.13763866485090448,4.52837056910788,0.0960783765001556,-0.6744486851583698,-0.6744486851583696,-0.5336612936703298,-0.5336612936703298,0.29671329821354697,-0.39181883342605395,-0.5047490027193476,0.9398894031465277,-0.45368774686823754,-0.24035338444226062,-0.653506042569795,0.049249166830033324,0.026403149849455725,0.08169406928948914,1113,13624,-0.22908323179505735,-0.08773845670874637,17064,100.0,0.0,80768119.511625,1744653267.5049999,-0.1695804056922221,-0.17664633968509413,-0.0047867236626963905,-0.10698173891462581,-0.08049772490767015,-0.08252586685414198,-0.08603909632605167,-0.03660555764944666,-0.10195845235397141,-3697,-0.0047867236626963905,-0.10698173891462581,0.03660555764944666,-0.10195845235397141
guard_strict_v1,guard strict,composite,-0.010538000489586419,-0.010538000489586419,-0.5439953543815905,-0.04011828198115819,-0.8435495727322017,-0.843549572732201,-0.5009392859581546,-0.5009392859581546,0.23615134241333827,-0.0408354503094317,-0.053167015324919076,0.5192966762689208,-0.41480904099617155,-0.32471533465302216,-0.6779124541161956,0.040143109194275634,0.030440109320516447,0.08132720223604725,902,11091,-0.5551533080652022,2.5888724524807123,12088,82.0,18.0,141234511.23775,2267194843.79,-0.317757071032713,-0.3128429981664079,-0.1738876112365283,-0.27608262648845716,-0.047775717195495004,-0.16688781706490352,-0.11044550787245222,-0.03697242470288854,-0.42802852862411633,-8673,-0.1738876112365283,-0.27608262648845716,0.03697242470288854,-0.42802852862411633
