,豆粕,玉米,棕榈油,豆油,白糖,棉花,螺纹钢,铁矿石,焦炭,热轧卷板,铜,锌,铝,PTA,甲醇,橡胶,原油,黄金,白银
豆粕,1.0,0.25853003665809254,0.24112554668779543,0.35542046489054774,0.18411841738003343,0.11522241773809652,0.11823055745256252,0.09936361778801649,0.07299689114418986,0.10653390795552552,0.12199029564486026,0.0764849449861037,0.10769288305028211,0.12090541094788047,0.11655889420819979,0.12064847965675617,0.13931268924610718,0.03569337218372007,0.09138739862062613
玉米,0.25853003665809254,1.0,0.13894905506830357,0.20006011310648456,0.10194756688819889,0.15147532648429665,0.10894111131909087,0.11135677280358844,0.1097517226945582,0.09637907633400043,0.1205823394543911,0.09230623276416902,0.11053004371846607,0.09441231925807152,0.06375855869272447,0.09732591723809374,0.06011106286574061,0.011254037021072862,0.04611532897841217
棕榈油,0.24112554668779543,0.13894905506830357,1.0,0.8051272720987559,0.23310928694708807,0.3019014481863194,0.2280746660524934,0.18969196580452713,0.1989214925949997,0.23285934352879323,0.29652309430552704,0.2191471786502427,0.24779250584777004,0.2963503075726507,0.2620043440441005,0.26684778942623,0.3365739137949899,0.07883622936190618,0.16955992411770401
豆油,0.35542046489054774,0.20006011310648456,0.8051272720987559,1.0,0.24475574837896866,0.2907610322023638,0.22256087418120565,0.18925334565308594,0.21272998123837136,0.23191378888878567,0.3035259734182384,0.23386162981766817,0.2526564732401309,0.3065630935903373,0.26607238797772104,0.27724240845787973,0.3434493365608269,0.07290574667057176,0.1567033815221314
白糖,0.18411841738003343,0.10194756688819889,0.23310928694708807,0.24475574837896866,1.0,0.2865090712435061,0.16017926015904566,0.1561098857274541,0.13662927681870338,0.15882793098234543,0.2059593679772703,0.14670077849935093,0.13853142465333604,0.21320391541246705,0.183475454971925,0.2719375384274104,0.20017213247621657,0.03340646374704695,0.10052238276794567
棉花,0.11522241773809652,0.15147532648429665,0.3019014481863194,0.2907610322023638,0.2865090712435061,1.0,0.24093442515431263,0.21084806351254712,0.21436826696015399,0.25392237706962445,0.311393671007521,0.24762219532481491,0.23940647930031836,0.37081038154660656,0.2792088944591648,0.3818281995305719,0.2516723704525778,-0.012317614840495907,0.14677219897972676
螺纹钢,0.11823055745256252,0.10894111131909087,0.2280746660524934,0.22256087418120565,0.16017926015904566,0.24093442515431263,1.0,0.6546989326735257,0.6072950757785358,0.8657006790836647,0.33600676862060985,0.26077943070710474,0.32639657596222454,0.26546637150765545,0.3259396277057455,0.2979468258892056,0.14873253712265253,-0.0011530685099940467,0.12752293535459505
铁矿石,0.09936361778801649,0.11135677280358844,0.18969196580452713,0.18925334565308594,0.1561098857274541,0.21084806351254712,0.6546989326735257,1.0,0.5477195146523504,0.616961529114926,0.3364331122905671,0.28183350302395094,0.2832253975295901,0.2679666310370901,0.2876405462093795,0.23374772030215824,0.16357575701257052,0.018722372716777947,0.14764908262421866
焦炭,0.07299689114418986,0.1097517226945582,0.1989214925949997,0.21272998123837136,0.13662927681870338,0.21436826696015399,0.6072950757785358,0.5477195146523504,1.0,0.5669357161058387,0.30125815885906754,0.2882013576263238,0.29350170883128535,0.25707288760267744,0.34984392336241504,0.26800623816200453,0.14682824025411145,-0.004791145256595954,0.13719860865869735
热轧卷板,0.10653390795552552,0.09637907633400043,0.23285934352879323,0.23191378888878567,0.15882793098234543,0.25392237706962445,0.8657006790836647,0.616961529114926,0.5669357161058387,1.0,0.3544005278940007,0.29167217005809887,0.3355307182409861,0.2738510107870596,0.31340888562102187,0.3024252157007577,0.14190863920395763,0.002585777175891136,0.13946092482749103
铜,0.12199029564486026,0.1205823394543911,0.29652309430552704,0.3035259734182384,0.2059593679772703,0.311393671007521,0.33600676862060985,0.3364331122905671,0.30125815885906754,0.3544005278940007,1.0,0.6117641803568877,0.5786837374830422,0.32531739706518464,0.26697000149868816,0.38287667084321003,0.3210910394590869,0.18268861876234907,0.41275143980999807
锌,0.0764849449861037,0.09230623276416902,0.2191471786502427,0.23386162981766817,0.14670077849935093,0.24762219532481491,0.26077943070710474,0.28183350302395094,0.2882013576263238,0.29167217005809887,0.6117641803568877,1.0,0.49916180767484203,0.2512192660603839,0.25063963203032713,0.2872759734558311,0.2362384301489271,0.11194589918265975,0.29507874958613517
铝,0.10769288305028211,0.11053004371846607,0.24779250584777004,0.2526564732401309,0.13853142465333604,0.23940647930031836,0.32639657596222454,0.2832253975295901,0.29350170883128535,0.3355307182409861,0.5786837374830422,0.49916180767484203,1.0,0.2654165943843696,0.2666496753478701,0.292527629705191,0.2316951175029153,0.09667560686518273,0.2651329019000894
PTA,0.12090541094788047,0.09441231925807152,0.2963503075726507,0.3065630935903373,0.21320391541246705,0.37081038154660656,0.26546637150765545,0.2679666310370901,0.25707288760267744,0.2738510107870596,0.32531739706518464,0.2512192660603839,0.2654165943843696,1.0,0.4527624773105649,0.32422023903692193,0.5553417326198042,0.016978774722355375,0.1559784726264624
甲醇,0.11655889420819979,0.06375855869272447,0.2620043440441005,0.26607238797772104,0.183475454971925,0.2792088944591648,0.3259396277057455,0.2876405462093795,0.34984392336241504,0.31340888562102187,0.26697000149868816,0.25063963203032713,0.2666496753478701,0.4527624773105649,1.0,0.3169157108654577,0.340047672068006,-0.00024191135973147473,0.10524404009860382
橡胶,0.12064847965675617,0.09732591723809374,0.26684778942623,0.27724240845787973,0.2719375384274104,0.3818281995305719,0.2979468258892056,0.23374772030215824,0.26800623816200453,0.3024252157007577,0.38287667084321003,0.2872759734558311,0.292527629705191,0.32422023903692193,0.3169157108654577,1.0,0.28799776198445975,0.05358231958229419,0.22063024893155941
原油,0.13931268924610718,0.06011106286574061,0.3365739137949899,0.3434493365608269,0.20017213247621657,0.2516723704525778,0.14873253712265253,0.16357575701257052,0.14682824025411145,0.14190863920395763,0.3210910394590869,0.2362384301489271,0.2316951175029153,0.5553417326198042,0.340047672068006,0.28799776198445975,1.0,0.0380792755167611,0.15686809818635455
黄金,0.03569337218372007,0.011254037021072862,0.07883622936190618,0.07290574667057176,0.03340646374704695,-0.012317614840495907,-0.0011530685099940467,0.018722372716777947,-0.004791145256595954,0.002585777175891136,0.18268861876234907,0.11194589918265975,0.09667560686518273,0.016978774722355375,-0.00024191135973147473,0.05358231958229419,0.0380792755167611,1.0,0.7100227426380464
白银,0.09138739862062613,0.04611532897841217,0.16955992411770401,0.1567033815221314,0.10052238276794567,0.14677219897972676,0.12752293535459505,0.14764908262421866,0.13719860865869735,0.13946092482749103,0.41275143980999807,0.29507874958613517,0.2651329019000894,0.1559784726264624,0.10524404009860382,0.22063024893155941,0.15686809818635455,0.7100227426380464,1.0
